brand,brand_model,storage_capacity,color,model_year,price,number_of_global_ratings,star_ratings,5 star,4 star,3 star,2 star,1 star
Apple,iPhone 12,64, Blue ,2020,435.0,12493,4.1,62,15,6,4,12
Apple,iPhone 12 Pro,128, Graphite ,2020,689.86,4711,4.1,59,17,6,4,13
Apple,iPhone 13 Pro,128, Gold ,2021,799.99,161,4.3,70,13,4,4,8
Apple,iPhone 13 Pro Max,128, Sierra Blue ,2021,899.99,420,4.3,71,12,3,3,10
Apple,iPhone 14,128, Midnight ,2022,899.98,852,4.4,75,10,4,2,9
Apple,iPhone 14 Pro Max,128, Deep Purple ,2022,1849.0,669,4.3,73,8,4,2,13
Samsung,Galaxy S20 FE,128,Navy,2020,269.0,689,3.9,58,14,5,6,17
Samsung,Galaxy S21 5G,128,Grey,2021,294.99,173,3.6,48,13,9,11,19
Samsung,Galaxy S22 (5G),128,Black,2022,476.91,105,4.1,63,11,11,6,10
Samsung,Galaxy S22 Ultra,128,Black,2022,839.99,28,4.0,56,19,7,0,18
Samsung,Galaxy S23 5G,128,Black,2023,877.96,546,4.5,78,11,3,2,7
Samsung,Galaxy S23 Ultra,256,Black,2023,1399.0,47,4.3,72,8,5,3,11
